,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
APOLOGY,"(('friends', 'NNS'), 1)","(('been', 'VBN'), 1)","(('※amen§', 'NN'), 1)","(('apologies', 'NNS'), 1)","(('first', 'JJ'), 1)","(('rehab', 'NN'), 1)","(('when', 'WRB'), 1)","(('integrity', 'NN'), 1)","(('honest', 'JJ'), 1)","(('crying', 'VBG'), 1)",,,,,,,,,,
BABY STEPS / Accomplishments,"(('one', 'CD'), 6)","(('step', 'NN'), 5)","(('life', 'NN'), 3)","(('ways', 'NNS'), 3)","(('wins', 'NNS'), 3)","(('little', 'JJ'), 3)","(('steps', 'NNS'), 3)","(('anything', 'NN'), 2)","(('drugs', 'NNS'), 2)","(('size', 'NN'), 2)","(('confidence', 'NN'), 2)","(('problem', 'NN'), 2)","(('when', 'WRB'), 2)","(('matter', 'NN'), 2)","(('how', 'WRB'), 2)","(('big', 'JJ'), 2)","(('easier', 'JJR'), 2)","(('point', 'NN'), 2)","(('recovery', 'NN'), 2)","(('triggers', 'NNS'), 2)"
BABY STEPS / Help & support,"(('who', 'WP'), 10)","(('life', 'NN'), 9)","(('when', 'WRB'), 8)","(('recovery', 'NN'), 8)","(('been', 'VBN'), 7)","(('people', 'NNS'), 7)","(('that', 'WDT'), 6)","(('drugs', 'NNS'), 6)","(('support', 'NN'), 6)","(('lot', 'NN'), 6)","(('addiction', 'NN'), 5)","(('friends', 'NNS'), 5)","(('meeting', 'NN'), 5)","(('memory', 'NN'), 4)","(('curve', 'NN'), 4)","(('things', 'NNS'), 4)","(('someone', 'NN'), 4)","(('I＊m', 'NNP'), 4)","(('building', 'NN'), 4)","(('triggers', 'NNS'), 4)"
BABY STEPS / first steps,"(('coaster', 'NN'), 7)","(('happy', 'JJ'), 4)","(('recovery', 'NN'), 4)","(('bipolar', 'JJ'), 4)","(('small', 'JJ'), 4)","(('new', 'JJ'), 3)","(('bridges', 'NNS'), 3)","(('addiction', 'NN'), 3)","(('time', 'NN'), 3)","(('towards', 'NNS'), 3)","(('way', 'NN'), 3)","(('steps', 'NNS'), 3)","(('people', 'NNS'), 2)","(('years', 'NNS'), 2)","(('days', 'NNS'), 2)","(('most', 'RBS'), 2)","(('step', 'NN'), 2)","(('girlfriend', 'NN'), 2)","(('journey', 'NN'), 2)","(('moments', 'NNS'), 2)"
BABY STEPS / focus on today,"(('going', 'VBG'), 12)","(('today', 'NN'), 5)","(('that', 'WDT'), 5)","(('pot', 'NN'), 4)","(('life', 'NN'), 3)","(('tomorrow', 'NN'), 3)","(('room', 'NN'), 3)","(('thoughts', 'NNS'), 2)","(('up', 'RP'), 2)","(('things', 'NNS'), 2)","(('way', 'NN'), 2)","(('better', 'JJR'), 2)","(('first', 'JJ'), 2)","(('hard', 'JJ'), 2)","(('step', 'NN'), 2)","(('relapse', 'NN'), 2)","(('away', 'RP'), 2)","(('day', 'NN'), 2)","(('there', 'EX'), 2)","(('places', 'NNS'), 1)"
BABY STEPS / slow changes,"(('time', 'NN'), 11)","(('life', 'NN'), 6)","(('what', 'WP'), 5)","(('that', 'WDT'), 5)","(('one', 'CD'), 5)","(('when', 'WRB'), 4)","(('recovery', 'NN'), 4)","(('day', 'NN'), 4)","(('food', 'NN'), 4)","(('doing', 'VBG'), 3)","(('Getting', 'VBG'), 3)","(('hour', 'NN'), 3)","(('clock', 'NN'), 3)","(('work', 'NN'), 3)","(('going', 'VBG'), 3)","(('gratification', 'NN'), 3)","(('每', 'JJ'), 3)","(('addiction', 'NN'), 3)","(('baby', 'JJ'), 3)","(('which', 'WDT'), 3)"
BELIEFS,"(('beliefs', 'NNS'), 6)","(('right', 'JJ'), 3)","(('beliefs', 'NN'), 2)","(('using', 'VBG'), 2)","(('negative', 'JJ'), 2)","(('old', 'JJ'), 2)","(('working', 'VBG'), 2)","(('one', 'CD'), 2)","(('matter', 'NN'), 1)","(('sobriety', 'NN'), 1)","(('changing', 'VBG'), 1)","(('thoughts', 'NNS'), 1)","(('family', 'NN'), 1)","(('confident', 'JJ'), 1)","(('able', 'JJ'), 1)","(('today', 'NN'), 1)","(('new', 'JJ'), 1)","(('drugs', 'NNS'), 1)","(('what', 'WP'), 1)","(('doing', 'VBG'), 1)"
BENEFITS / COSTS,"(('decisions', 'NNS'), 3)","(('recovery', 'NN'), 3)","(('life', 'NN'), 2)","(('cost', 'NN'), 2)","(('when', 'WRB'), 2)","(('matter', 'NN'), 1)","(('sobriety', 'NN'), 1)","(('changing', 'VBG'), 1)","(('Today', 'NN'), 1)","(('potential', 'JJ'), 1)","(('money', 'NN'), 1)","(('changes', 'NNS'), 1)","(('drop', 'NN'), 1)","(('competency', 'NN'), 1)","(('trust', 'NN'), 1)","(('bank', 'NN'), 1)","(('account', 'NN'), 1)","(('how', 'WRB'), 1)","(('habits/using', 'NN'), 1)","(('health', 'NN'), 1)"
BINGE,"(('life', 'NN'), 4)","(('more', 'JJR'), 4)","(('up', 'RP'), 3)","(('system', 'NN'), 3)","(('when', 'WRB'), 3)","(('binge', 'NN'), 3)","(('sugar', 'NN'), 3)","(('recovery', 'NN'), 3)","(('lazy', 'JJ'), 3)","(('head', 'NN'), 2)","(('being', 'VBG'), 2)","(('unhealthy', 'JJ'), 2)","(('covers', 'NNS'), 2)","(('meals', 'NNS'), 2)","(('where', 'WRB'), 2)","(('addiction', 'NN'), 2)","(('who', 'WP'), 2)","(('husband', 'NN'), 2)","(('excess', 'JJ'), 2)","(('relationship', 'NN'), 2)"
BITTERNESS,"(('truth', 'NN'), 3)","(('beautiful', 'JJ'), 2)","(('more', 'RBR'), 2)","(('addict', 'NN'), 2)","(('bitter', 'JJ'), 2)","(('gold', 'NN'), 1)","(('told', 'VBN'), 1)","(('telltale', 'JJ'), 1)","(('experience', 'NN'), 1)","(('choice', 'NN'), 1)","(('head', 'NN'), 1)","(('misery', 'NN'), 1)","(('public', 'JJ'), 1)","(('transportation', 'NN'), 1)","(('when', 'WRB'), 1)","(('gloom', 'NN'), 1)","(('middle', 'JJ'), 1)","(('life', 'NN'), 1)","(('MIS-', 'NNP'), 1)","(('happy', 'JJ'), 1)"
BLAME,"(('blame', 'NN'), 7)","(('life', 'NN'), 6)","(('fault', 'NN'), 4)","(('recovery', 'NN'), 4)","(('nobody', 'NN'), 3)","(('problem', 'NN'), 3)","(('things', 'NNS'), 3)","(('using', 'VBG'), 3)","(('anything', 'NN'), 2)","(('part', 'NN'), 2)","(('other', 'JJ'), 2)","(('God', 'NNP'), 2)","(('victim', 'NN'), 2)","(('negative', 'JJ'), 2)","(('addiction', 'NN'), 2)","(('who', 'WP'), 2)","(('when', 'WRB'), 2)","(('someone', 'NN'), 2)","(('Ditching', 'VBG'), 2)","(('criticism', 'NN'), 2)"
CHANGE / action & behavior,"(('life', 'NN'), 6)","(('When', 'WRB'), 4)","(('healthy', 'JJ'), 4)","(('stores', 'NNS'), 3)","(('emotional', 'JJ'), 3)","(('how', 'WRB'), 3)","(('mental', 'JJ'), 3)","(('liquor', 'NN'), 3)","(('physical', 'JJ'), 3)","(('seeing', 'VBG'), 2)","(('other', 'JJ'), 2)","(('drugs', 'NNS'), 2)","(('doing', 'VBG'), 2)","(('hobby', 'NN'), 2)","(('people', 'NNS'), 2)","(('home', 'NN'), 2)","(('things', 'NNS'), 2)","(('action', 'NN'), 2)","(('mind', 'NN'), 2)","(('what', 'WP'), 2)"
CHANGE / beliefs,"(('beliefs', 'NNS'), 13)","(('addiction', 'NN'), 12)","(('life', 'NN'), 12)","(('when', 'WRB'), 10)","(('things', 'NNS'), 9)","(('recovery', 'NN'), 8)","(('that', 'WDT'), 8)","(('people', 'NNS'), 8)","(('belief', 'NN'), 7)","(('new', 'JJ'), 6)","(('free', 'JJ'), 6)","(('good', 'JJ'), 6)","(('When', 'WRB'), 5)","(('own', 'JJ'), 5)","(('food', 'NN'), 5)","(('what', 'WP'), 5)","(('mindset', 'NN'), 5)","((""'s"", 'POS'), 5)","(('others', 'NNS'), 5)","(('beliefs', 'NN'), 4)"
CHANGE / courage,"(('God', 'NNP'), 9)","(('that', 'WDT'), 8)","(('when', 'WRB'), 7)","(('recovery', 'NN'), 7)","(('life', 'NN'), 6)","(('up', 'RP'), 5)","(('what', 'WP'), 5)","(('I＊m', 'NNP'), 5)","(('changes', 'NNS'), 5)","(('more', 'JJR'), 4)","(('one', 'CD'), 4)","(('working', 'VBG'), 3)","(('who', 'WP'), 3)","(('binge', 'NN'), 3)","(('lying', 'VBG'), 3)","(('change', 'NN'), 3)","(('每', 'NNP'), 3)","(('clean', 'JJ'), 3)","(('turkey', 'NN'), 3)","(('time', 'NN'), 3)"
CHANGE / mental confidence,"(('drugs', 'NNS'), 15)","(('life', 'NN'), 12)","(('addiction', 'NN'), 11)","(('up', 'RP'), 10)","(('when', 'WRB'), 10)","(('what', 'WP'), 9)","(('how', 'WRB'), 9)","(('feelings', 'NNS'), 9)","(('addict', 'NN'), 7)","(('time', 'NN'), 6)","(('things', 'NNS'), 6)","(('每', 'NN'), 6)","(('abstinence', 'NN'), 5)","(('drug', 'NN'), 5)","(('something', 'NN'), 5)","(('morning', 'NN'), 5)","(('been', 'VBN'), 5)","(('brain', 'NN'), 5)","(('being', 'VBG'), 4)","(('doing', 'VBG'), 4)"
CHANGE / motivations,"(('life', 'NN'), 16)","(('drugs', 'NNS'), 13)","(('addiction', 'NN'), 13)","(('motives', 'NNS'), 12)","(('up', 'RP'), 11)","(('time', 'NN'), 11)","(('motivation', 'NN'), 10)","(('that', 'WDT'), 9)","(('what', 'WP'), 8)","(('something', 'NN'), 8)","(('who', 'WP'), 8)","(('when', 'WRB'), 7)","(('own', 'JJ'), 7)","(('one', 'CD'), 7)","(('going', 'VBG'), 6)","(('been', 'VBN'), 6)","(('using', 'VBG'), 6)","((""'s"", 'POS'), 6)","(('people', 'NNS'), 6)","(('where', 'WRB'), 6)"
CHANGE / self love & true self,"(('that', 'WDT'), 10)","(('being', 'VBG'), 8)","(('been', 'VBN'), 6)","(('drugs', 'NNS'), 6)","(('life', 'NN'), 5)","(('layers', 'NNS'), 5)","(('there', 'EX'), 5)","(('addiction', 'NN'), 5)","(('thing', 'NN'), 5)","(('years', 'NNS'), 4)","(('things', 'NNS'), 4)","(('miracle', 'NN'), 4)","(('new', 'JJ'), 4)","(('old', 'JJ'), 4)","(('time', 'NN'), 4)","(('behaviors', 'NNS'), 4)","(('day', 'NN'), 4)","(('past', 'NN'), 4)","(('positive', 'JJ'), 4)","(('love', 'NN'), 3)"
CHANGE / thoughts,"(('thoughts', 'NNS'), 10)","(('negative', 'JJ'), 7)","(('life', 'NN'), 6)","(('negativity', 'NN'), 3)","(('free', 'JJ'), 3)","(('when', 'WRB'), 3)","(('how', 'WRB'), 3)","(('way', 'NN'), 3)","(('there', 'EX'), 3)","(('actions', 'NNS'), 2)","(('able', 'JJ'), 2)","(('being', 'VBG'), 2)","(('thinking', 'NN'), 2)","(('mind', 'NN'), 2)","(('每', 'NN'), 2)","(('own', 'JJ'), 2)","(('things', 'NNS'), 2)","(('step', 'NN'), 2)","(('time', 'NN'), 2)","(('better', 'JJR'), 2)"
COMMITMENTS,"(('drugs', 'NNS'), 7)","(('gratification', 'NN'), 6)","(('time', 'NN'), 6)","(('what', 'WP'), 5)","(('doing', 'VBG'), 4)","(('years', 'NNS'), 4)","(('things', 'NNS'), 4)","(('when', 'WRB'), 4)","(('try', 'NN'), 4)","(('more', 'JJR'), 4)","(('something', 'NN'), 4)","(('life', 'NN'), 3)","(('been', 'VBN'), 3)","(('When', 'WRB'), 3)","(('clock', 'NN'), 3)","(('going', 'VBG'), 3)","(('dope', 'NN'), 3)","(('drug', 'NN'), 3)","(('lazy', 'JJ'), 3)","(('people', 'NNS'), 3)"
COMMUNITY / Meetings & groups,"(('recovery', 'NN'), 9)","(('meetings', 'NNS'), 7)","(('meeting', 'NN'), 7)","(('when', 'WRB'), 5)","(('anger', 'NN'), 5)","(('I＊m', 'NNP'), 4)","(('who', 'WP'), 4)","(('more', 'RBR'), 4)","(('building', 'NN'), 4)","(('support', 'NN'), 4)","(('others', 'NNS'), 4)","(('addiction', 'NN'), 4)","(('withdrawal', 'NN'), 4)","(('OA', 'NNP'), 4)","(('food', 'NN'), 4)","(('program', 'NN'), 3)","(('life', 'NN'), 3)","(('important', 'JJ'), 3)","(('recovering', 'VBG'), 3)","(('how', 'WRB'), 3)"
COMMUNITY / ask for assistance,"(('help', 'NN'), 8)","(('people', 'NNS'), 6)","(('recovery', 'NN'), 5)","(('that', 'WDT'), 5)","(('foods', 'NNS'), 4)","(('when', 'WRB'), 4)","(('food', 'NN'), 4)","(('something', 'NN'), 3)","(('God', 'NNP'), 3)","(('who', 'WP'), 3)","(('disease', 'NN'), 3)","(('one', 'CD'), 3)","(('deserts', 'NNS'), 3)","(('self-control', 'NN'), 3)","(('gift', 'NN'), 2)","(('life', 'NN'), 2)","(('support', 'NN'), 2)","(('afraid', 'JJ'), 2)","(('negative', 'JJ'), 2)","(('meeting', 'NN'), 2)"
COMMUNITY / connection with others,"(('others', 'NNS'), 11)","(('people', 'NNS'), 9)","(('recovery', 'NN'), 8)","(('when', 'WRB'), 7)","(('When', 'WRB'), 7)","(('share', 'NN'), 7)","(('what', 'WP'), 6)","(('life', 'NN'), 6)","(('who', 'WP'), 6)","(('relationships', 'NNS'), 6)","(('mood', 'NN'), 5)","(('that', 'WDT'), 5)","(('good', 'JJ'), 5)","(('same', 'JJ'), 4)","(('friends', 'NNS'), 4)","(('motivation', 'NN'), 4)","(('new', 'JJ'), 4)","(('drug', 'NN'), 4)","(('happy', 'JJ'), 4)","(('manic', 'JJ'), 4)"
COMMUNITY / healthy relationships,"(('friends', 'NNS'), 25)","(('people', 'NNS'), 23)","(('life', 'NN'), 15)","(('who', 'WP'), 14)","(('that', 'WDT'), 13)","(('bridges', 'NNS'), 13)","(('drugs', 'NNS'), 12)","(('what', 'WP'), 10)","(('been', 'VBN'), 10)","(('addiction', 'NN'), 10)","(('recovery', 'NN'), 8)","(('relationships', 'NNS'), 8)","(('wrong', 'JJ'), 7)","(('family', 'NN'), 7)","(('up', 'RP'), 6)","(('when', 'WRB'), 6)","(('healthy', 'JJ'), 6)","(('dope', 'NN'), 6)","(('time', 'NN'), 6)","(('all', 'PDT'), 6)"
COMMUNITY / listen to guidance,"(('who', 'WP'), 7)","(('when', 'WRB'), 7)","(('amends', 'NNS'), 7)","(('people', 'NNS'), 6)","(('recovery', 'NN'), 5)","(('hints', 'NNS'), 5)","(('mistakes', 'NNS'), 5)","(('more', 'JJR'), 5)","(('others', 'NNS'), 5)","(('good', 'JJ'), 4)","(('excuses', 'NNS'), 4)","(('experience', 'NN'), 4)","(('work', 'NN'), 4)","(('addiction', 'NN'), 4)","(('behavior', 'NN'), 4)","(('that', 'WDT'), 4)","(('steps', 'NNS'), 4)","(('up', 'RP'), 3)","(('strong', 'JJ'), 3)","(('ways', 'NNS'), 3)"
COMMUNITY / sharing,"(('recovery', 'NN'), 6)","(('share', 'NN'), 5)","(('people', 'NNS'), 5)","(('who', 'WP'), 4)","(('when', 'WRB'), 4)","(('feelings', 'NNS'), 4)","(('new', 'JJ'), 4)","(('triggers', 'NNS'), 4)","(('negative', 'JJ'), 3)","(('life', 'NN'), 3)","(('sobriety', 'NN'), 3)","(('program', 'NN'), 3)","(('out', 'RP'), 3)","(('One', 'CD'), 3)","(('that', 'WDT'), 3)","(('helping', 'VBG'), 3)","(('help', 'NN'), 3)","(('up', 'RP'), 2)","(('emotions', 'NNS'), 2)","(('things', 'NNS'), 2)"
COMPASSION,"(('recovery', 'NN'), 5)","(('sponsor', 'NN'), 4)","(('who', 'WP'), 4)","(('program', 'NN'), 3)","(('share', 'NN'), 3)","(('when', 'WRB'), 3)","(('relapse', 'NN'), 3)","(('help', 'NN'), 3)","(('addicts', 'NNS'), 3)","(('feeling', 'VBG'), 2)","(('drugs', 'NNS'), 2)","(('hopeless', 'JJ'), 2)","(('working', 'VBG'), 2)","(('life', 'NN'), 2)","(('kind', 'NN'), 2)","(('hug', 'NN'), 2)","(('hopelessness', 'NN'), 2)","(('kindness', 'NN'), 2)","(('labels', 'NNS'), 2)","(('more', 'RBR'), 2)"
CONFESSION,"(('vulnerable', 'JJ'), 3)","(('addiction', 'NN'), 3)","(('things', 'NNS'), 3)","(('something', 'NN'), 3)","(('accidents', 'NNS'), 2)","(('drugs', 'NNS'), 2)","(('someone', 'NN'), 2)","(('reason', 'NN'), 2)","(('address', 'NN'), 2)","(('When', 'WRB'), 2)","(('accident', 'NN'), 2)","(('lost', 'VBN'), 2)","(('that', 'WDT'), 2)","(('sober', 'JJ'), 1)","(('actions', 'NNS'), 1)","(('beautiful', 'JJ'), 1)","(('thoughts', 'NNS'), 1)","(('problem', 'NN'), 1)","(('negative', 'JJ'), 1)","(('idiot', 'JJ'), 1)"
CONFESSION / admit,"(('life', 'NN'), 11)","(('recovery', 'NN'), 9)","(('food', 'NN'), 8)","(('things', 'NNS'), 7)","(('addiction', 'NN'), 6)","(('there', 'EX'), 5)","(('kids', 'NNS'), 5)","(('been', 'VBN'), 5)","(('lot', 'NN'), 5)","(('years', 'NNS'), 4)","(('who', 'WP'), 4)","(('when', 'WRB'), 4)","(('addicted', 'VBN'), 4)","(('family', 'NN'), 4)","(('that', 'WDT'), 4)","(('one', 'CD'), 4)","(('Alanon', 'NNP'), 3)","(('anything', 'NN'), 3)","(('vulnerable', 'JJ'), 3)","(('being', 'VBG'), 3)"
CONFESSION / apology & forgiveness,"(('amends', 'NNS'), 11)","(('someone', 'NN'), 6)","(('what', 'WP'), 6)","(('going', 'VBG'), 6)","(('actions', 'NNS'), 6)","(('making', 'VBG'), 5)","(('addiction', 'NN'), 5)","(('when', 'WRB'), 4)","(('damage', 'NN'), 4)","(('behavior', 'NN'), 4)","(('recovery', 'NN'), 4)","(('accountable', 'JJ'), 4)","(('own', 'JJ'), 4)","(('Today', 'NN'), 4)","(('one', 'CD'), 4)","(('done', 'VBN'), 4)","(('pain', 'NN'), 4)","(('list', 'NN'), 3)","(('who', 'WP'), 3)","(('things', 'NNS'), 3)"
CONFESSION / damage & hurt,"(('things', 'NNS'), 17)","(('addiction', 'NN'), 15)","(('damage', 'NN'), 12)","(('life', 'NN'), 11)","(('people', 'NNS'), 11)","(('pot', 'NN'), 9)","(('what', 'WP'), 7)","(('been', 'VBN'), 7)","(('who', 'WP'), 7)","(('done', 'VBN'), 7)","(('others', 'NNS'), 7)","(('being', 'VBG'), 6)","(('feelings', 'NNS'), 6)","(('that', 'WDT'), 6)","(('doing', 'VBG'), 5)","(('time', 'NN'), 5)","(('way', 'NN'), 5)","(('years', 'NNS'), 5)","(('wife', 'NN'), 5)","(('having', 'VBG'), 5)"
CONFESSION / denial,"(('that', 'WDT'), 9)","(('When', 'WRB'), 8)","(('life', 'NN'), 8)","(('doing', 'VBG'), 7)","(('I＊m', 'NNP'), 7)","(('recovery', 'NN'), 7)","(('news', 'NN'), 7)","(('addiction', 'NN'), 6)","(('excuses', 'NNS'), 6)","(('up', 'RP'), 5)","(('friends', 'NNS'), 5)","(('problem', 'NN'), 5)","(('time', 'NN'), 5)","(('way', 'NN'), 5)","(('drugs', 'NNS'), 5)","(('one', 'CD'), 5)","(('impulses', 'NNS'), 5)","(('hostility', 'NN'), 4)","(('when', 'WRB'), 4)","(('how', 'WRB'), 4)"
CONFESSION / powerlessness,"(('addiction', 'NN'), 7)","(('help', 'NN'), 6)","(('Today', 'NN'), 4)","(('recovery', 'NN'), 4)","(('people', 'NNS'), 3)","(('God', 'NNP'), 3)","(('who', 'WP'), 3)","(('admitting', 'VBG'), 3)","(('something', 'NN'), 3)","(('part', 'NN'), 3)","(('up', 'RP'), 2)","(('life', 'NN'), 2)","(('support', 'NN'), 2)","(('Requesting', 'VBG'), 2)","(('courage', 'NN'), 2)","(('cycle', 'NN'), 2)","(('afraid', 'JJ'), 2)","(('sobriety', 'NN'), 2)","(('weakness', 'NN'), 2)","(('one', 'CD'), 2)"
CONFIDENCE,"(('step', 'NN'), 4)","(('steps', 'NNS'), 3)","(('matter', 'NN'), 2)","(('drugs', 'NNS'), 2)","(('life', 'NN'), 2)","(('one', 'CD'), 2)","(('size', 'NN'), 2)","(('recovery', 'NN'), 2)","(('confidence', 'NN'), 2)","(('valued', 'VBN'), 1)","(('self-efficacy', 'NN'), 1)","(('goal', 'NN'), 1)","(('continuing', 'VBG'), 1)","(('refraining', 'VBG'), 1)","(('using', 'VBG'), 1)","(('ruining', 'VBG'), 1)","(('journey', 'NN'), 1)","(('milestone', 'NN'), 1)","(('control', 'NN'), 1)","(('next', 'JJ'), 1)"
CONFIDENCE /  hope & future,"(('life', 'NN'), 17)","(('recovery', 'NN'), 12)","(('When', 'WRB'), 9)","(('things', 'NNS'), 9)","(('what', 'WP'), 7)","(('when', 'WRB'), 7)","(('that', 'WDT'), 7)","(('people', 'NNS'), 7)","(('slate', 'NN'), 7)","(('drugs', 'NNS'), 6)","(('how', 'WRB'), 5)","(('past', 'NN'), 5)","(('time', 'NN'), 5)","(('sobriety', 'NN'), 5)","(('memory', 'NN'), 4)","(('today', 'NN'), 4)","(('healthy', 'JJ'), 4)","(('other', 'JJ'), 4)","(('support', 'NN'), 4)","(('hope', 'NN'), 4)"
