RAW,CATS,WELLGOS,FOCUS,N,GENDER
"Some parts of my past are difficult to let go of, but today I now contain the ability to burn any bridges that may threaten my sobriety. I forgive myself for the things that I have done in my past and the people I have hurt, and each step I take in this direction is enabling me to build new Bridges in their place.","FORGIVENESS,INNER POWER / Fears & Strength,CONFIDENCE /  hope & future,CHANGE / self love & true self","Sobriety SOS’r,Inner Forgiverizer,Progress Pollinator,Soul Surgeon,Inner Freedom Forager",DRUGS/ALC,Jen,female
"When I used drugs, I was alone and I preferred to be alone. Now I know that this was unhealthy. I need friends, especially ones in recovery. Today I open myself up to establish these new connections and new friendships, and my story and journey through my recovery is an inspiration to others. Today, I am my best friend. I am beginning to love myself for my faults and successes. I need a support group that supports my recovery, especially for calling me out on my crap. I don’t need my circle of friends to agree with me, I just need them to be honest with me. Going to a meeting tonight is allowing me to meet another person I can relate to.","HEALING,WORTHINESS / connections & sharing","Sobriety Soulmater,Progress Pollinator,RELATIONSHIPS / Healthy & supportive,VULNERABILITY / listen to others",DRUGS/ALC,Jen,female
"Change is uncomfortable, but I am working through it and remembering to just breathe through every second. Today in my recovery embrace all the changes that are supportive of my recovery. Not only do I embrace the changes but I also embrace the challenges that come along with each one. Today I cannot run from my fears. If I fear change, I see myself relapsing. When first sober, I was on what they refer to as “the pink cloud”. I was gung ho, motivated and ready for the rest of my life to begin. After a while, I realized my motivations changed and were not as exciting as they were. Because of this, I am always open to receiving new elements for change and challenge myself to make a personal inventory.","FEAR,INNER POWER / Fears & Strength,CHANGE / courage","Pink Cloud Clinger,Challenge Ninja,Inner Motor Motivator,Adversity Adventurer",DRUGS/ALC,Jen,female
"Controlling my compulsions seems to put them in a pressure cooker, and fuels the compulsive cycle even more. Today, I can’t just control them by suppressing them, I am allowing myself to replace my compulsions with new behaviors and responses. In order to replace them, I am first changing my system of beliefs. My eyes are on the prize and I know how to listen to my compulsions. I believe they are teaching me exactly what I require to change.","BELIEFS,REACTIONS,CRAVINGS / vulnerability & learning","Compulsion KO’r,Belief Superseder,Responsibility Rebooter,Growth Gardener,Mentality Mender",DRUGS/ALC,Jen,female
"I  honestly use to think that I couldn’t deal with certain conflicts without drugs. Now I realize that I actually was never dealing with anything, just suppressing the feelings. Avoiding conflict 2 keep the peace around me will only lead to unleashing a war Within Myself. While it’s okay to not fear conflict I am still very aware that using new coping skills are my best means of approaching situations that carry stress and unhealthy emotions. Today I have the strength and courage to know the difference in determining which conflicts I can face. I must not avoid conflict. This is what fed my addiction was avoiding the pain connected with the conflict. Today, I am learning to constructively deal with hardships and work through them","FEAR,CONFLICT,HARDSHIP,COURAGE,RECONCILIATON","Conflict Connoisseur,Fear Firewaller,Courage Commander,Quarrel Quasher,ADMIT / Decisions & beliefs",DRUGS/ALC,Jen,female
"Conflict, arguing for example, is a major trigger of mine. I have the option to avoid most conflict, and what I can’t avoid, I am now using my sobriety assets to help me through these times. Mastering these situations are difficult butt I am strong enough and smart enough 2 determine which things around me are potential triggers.","CONFLICT,INNER MASTERY / challenge & resilience,TRIGGERS / tools & techniques","Conflict Connoisseur,Trouble Elixir,Problem Soul-ver,Adversity Ninja,Confidence Caffeinator",DRUGS/ALC,Jen,female
"Exploring the consequences of my actions is a primary tool I use for my recovery. It is currently enabling me to make more productive, and less destructive decisions. Because my mind is free and clear of any mind-altering substances, I am giving myself the precious gift of insight","BENEFITS / COSTS,BEHAVIOR,RESPONSIBILITY,INNER / SELF / Inventory","Behavior Savior,Self Harm Alarmer,Responsibility 101’r,I-examiner - reactions & behavior,SELF HARM / Tools",DRUGS/ALC,Jen,female
" Now I realize that my bad habits/using cost me more than just money from my bank account. Using cost me trust, relationships, and threatened my physical health. The benefit of sobriety is never-ending and so full of potential.","BENEFITS / COSTS,PAST,REGRET,TRUTH / Costs","Lost Benefit Lamenter,Wellectricity Generator,Bitter Truth Taster,Inner Forgiverizer,RAW SOUL REVEALER / costs",DRUGS/ALC,Jen,female
"I am craving (to use). My mind and body are both craving the drug; however, I can attack these cravings with my strongest assets—my willingness to stay sober and admitting me am powerless over drugs.","POWERLESSNESS,SOBRIETY,CONFIDENCE /  obstacles & challenge,CRAVINGS / will power & tools,RESILIENCE / will power","Craver Saver / Braver,The De-craverizer,Inner Motor Motivator,Powerholic Healer,Confidence Caffeinator",DRUGS/ALC,Jen,female
"I cannot suppress my cravings, yet I can control them and I control the power and how I respond. The fact is that I will go through life experiencing cravings, yet it is these types of experiences that are creating this strength inside me that cannot be penetrated by drugs or alcohol. I am a recovering addict and I am aware of how strong I am. My willpower enables me to say no thank you.... I do not need to succumb to the urge to use. My sobriety is far more important. I am far more important. I say, “Dear Brain, this is your addition talking”. Reminding myself of the power of addiction is humbling because my best thinking (while using) got me to my worst point.","MOTIVATION,INNER POWER / Self control & willpower,CRAVINGS / will power & tools","The De-craverizer,Cravings 101'r,Abstainer Amazer,Mighty Motor Cranker,The Successcalator",DRUGS/ALC,Jen,female
"I have the ability to curve my drug cravings with healthy choices. I am free from drugs and all mind altering substances because I am transforming into someone who can easily turn down drugs or alcohol . When a situation presents itself , I am blessed with the knowledge, strength, and know-how to curb my cravings, replacing them predetermined exercises. These types things consist of writing or taking part in my favorite recreational activity. Also I call my sponsor or a close friend that has experience with this cunning disease. I face my addiction and temptations one day at a time and I do the same with my cravings, one at a time","CONFIDENCE / action & behavior,INNER MASTERY / tools & processes,CRAVINGS / vulnerability & learning,RESILIENCE / reaction & behavior","Behavior Savior,Craver Saver / Braver,Symbolic Stepper,Progress Pollinator",DRUGS/ALC,Jen,female
"My sponsor is always within my reach to witness my cravings. My judgement is sometimes clouded, and she knows me well enough to recognize the onset of my cravings. Having her as my personal witness gives me a 2 to 1 lead over this disease.","MOTIVATION,CRAVINGS / support & help,GRATITUDE / for others,COMMUNITY / listen to guidance","Sobriety SOS’r,Cravings 101'r,Craver Saver / Braver,The Benefisher,RELATIONSHIPS / Meetings & support",DRUGS/ALC,Jen,female
"I  am up against many odds, but my hope and urge to stay sober enables me to break temptation and drug related cycles that fed my bad habits. I began to break my personal cycle of addiction and temptation when I chose to admit that I am powerless over my disease. That was my first step towards recovery. Taking an inventory of myself enables me to magnify the unhealthy Cycles which led me down a dark road in the past. Reviewing bypass is a critical part of my present and my future. No matter how shameful or embarrassing my actions were, today I use them in my favor, as they allow me to clearly see what behaviors and repeated tendencies held me back from being the strong, sober, and inspiring person I am now. My cycle of addiction is both transparent and nontransparent. To break the cycles within my own addiction requires a focus on what I can see and what I can’t. I have already begun to break my drug-related (using) cycles. Today I am clean and sober, and one day clean is just as important as a million days.","MOTIVATION,INNER / SELF / Inventory,PROGRESS / reactions & behavior,CONFESSION / powerlessness","Symbolic Stepper,Power Shower,New Pattern Painter / grit & progress,I-examiner - reactions & behavior,CLOSET CONFESSOR / Inventory",DRUGS/ALC,Jen,female
"Confessing to the damage I have created is ever-growing. When I was in the midst of using, I was engulfed in a selfish lifestyle. Confessing to the damage is monumental to my recovery. Today I choose to participate in confessing my damages. It's time that take a moment now and confess my past behaviors that hurt myself and those around me. I am accountable for these damages and by confessing them I am healing my own guilt and raising my own self- worth and self-esteem. If I ignore them, I am ignoring a part of this disease that thrives in chaos and guilt. I am guilt ridden from emotional damage I have left on others. They have chosen to forgive me because they see the changes I am making and the ownership I am taking.","GUILT,FORGIVENESS,AMENDS,CONFESSION / damage & hurt,ACCOUNTABILITY / damage confess","Responsibility Rippler,Damage Doctor,Relationship Dedamager,Forgiveness Rusher,Amender Befriender",DRUGS/ALC,Jen,female
"Reaching deep down is scary, but necessary. Today this fear does not control me. When things get scary I surround myself with those who share the same experiences and are supportive of my new-found sobriety. They encourage me to keep going and face my fears. My support groups and my hope serves as my torch when I travel to these dark places. I may not know what to expect but I do have the support and the faith to overcome any situation without relapse.","COURAGE,CONFIDENCE /  hope & future,COMMUNITY / Meetings & groups","Deep Down Diver,Scary Stepper,Fear Flusher,Courage Commander",DRUGS/ALC,Jen,female
"I have the desire to use. Using my coping mechanisms and personal inventory is now helping delay these desires. Some of my desires are completely reasonable. I am human and I will have urges/desires. Delaying the unhealthy desires, those which threaten my recovery and abstinence, leaves just enough time for my newfound coping mechanisms to kick in. It is important to delay some desires. Falling victim to them will land me back in the midst of my temptations and I am no longer this person. I am stronger, wiser, and more aware of which desires are dangerous.","REACTIONS,INNER MASTERY / tools & processes,URGES / tools & techniques","Danger Ranger,Urge Auditor,Little Hint Listener,I-Can-ographer,SELF HARM / Warnings",DRUGS/ALC,Jen,female
"At first, tolerating discomfort simply sucks.....there’s no other easy way to put it. I don’t have the right though to use and just numb these feelings. I am not weak, and using is a weakness. Tolerating discomfort makes me a stronger person, mentally and physically and emotionally. Tolerating discomfort is a part of life because I am human. These feelings of discomfort will pass, and while I am in the midst of these feelings, I will use every recovery tool and resource to tolerate them until they pass. Discomfort is not the end of the world it is merely a Feeling.","EMOTIONS,RESILIENCE / discomfort,INNER POWER / Tools,MINDSET / tolerate discomfort","The Wellifier ,Sober Selfie,Ill Feelings Illuminator,Placid Reflux,WAIT AND SWITCH / Emotions",DRUGS/ALC,Jen,female
"Some days my emotions are predictable. Some days it’s like riding a roller coaster. Keeping track of my emotions, and what I am emotionally responding to, is a ride I’ll never get off. I can accomplish anything set my mind to because I am not alone. I don’t want to live life emotionless, I choose to regulate the emotions I am experiencing in order to assess their power over my sobriety.","EMOTIONS,MOODS,ABSTINENCE,INNER POWER / Self control & willpower","Bipolar Patroller,Emotions X-rayer,Moody MF’r,Feelings Felicitizer",DRUGS/ALC,Jen,female
"I used drugs to maintain my habit and to avoid withdrawals. That was my excuse for using. Today I live in the now and am accountable for my actions. Today I chose to make efforts, not make excuses.","EXCUSES,RESPONSIBILITY,ACCOUNTABILITY / Own up","Excuse Nuker,Excuse Exterminator,Excuse X’r,Responsibility Rippler,New Pattern Painter / grit & progress",DRUGS/ALC,Jen,female
"My first step towards my recovery was a mental one—a decision to make a change. The first step is my most important one. I was able to take the first step on my own, but quickly realized that I needed crutches (others in recovery) to take the next one. Today I have these crutches and I intend on using them for as long as it takes. I have unlimited assistance.","WORTHINESS / help,BABY STEPS / Help & support,PROGRESS / start small,COMMUNITY / ask for assistance","Symbolic Stepper,Progress Painter,Growth Gardener,Baby Step Embracer,RELATIONSHIPS / Trust & vulnerability",DRUGS/ALC,Jen,female
"Today I can visualize my future, and I am looking forward to it. While using, I could not see past the next high. I have come a long ways because the future I visualize is limitless. I trust myself and I trust the decisions I make when I am free from the restraints of drugs and alcohol. My past does not define me, and my future is my to create.","JOY,CHANGE / self love & true self,GROWTH / motivation & boosts,FREEDOM / future & growth","Ever Evolving Flower,Grace Moonlighter,Joy Flooder,Endorphin Flooder,Inner Greatness Greeter",DRUGS/ALC,Jen,female
"I used to think that drugs and using made me happy....boy was I wrong. I now have the ability to gauge my happiness. My happiness is endless and has no limitations. My happiness comes from both tangible and intangible things. While I know I am able to gauge my own levels of happiness, I also am aware that I am constantly attracting more happiness into my life every minute of every day. I have the power ti create my own reality and this reality has a foundation of happy feelings and emotions. I am literally surround by an abundance of possibilities. Gauging my happiness is a critical part of my recovery plan because my emotions are my triggers.","DELUSION,FREEDOM / tools & strategies,CHANGE / mental confidence","Joy Flooder,Bliss Kisser,Endorphin Flooder,Emotions Engineer,Inner Child Smiler",DRUGS/ALC,Jen,female
"Today I am not afraid to seek help. Others in recovery have taught me that this is a strength, not a weakness. Asking for help is a real demonstration of how strong I am, and I do ask for help when I need it. I do not allow my pride to override my personal needs, and I know that I am not alone in my recovery, as we have all needed and received help at one point in our lives.","COURAGE,CONFESSION / powerlessness,WORTHINESS / help,COMMUNITY / ask for assistance","Pride Puffer,The Benefisher,Sobriety SOS’r,CLOSET CONFESSOR / Share & support,VULNERABILITY / reach out for help",DRUGS/ALC,Jen,female
"I cannot control all of my impulses, because controlling them, for me, only suppresses them. I can, however, use the tools I have to counter these impulses—identifying them and weighing my consequences. Today I fight my impulses head on, not because they are weaker, but because I am a stronger person than I use to be.","CRAVINGS / will power & tools,RESILIENCE / reaction & behavior,URGES / tools & techniques,INNER POWER / Decisions","Inner Power Allower,Reactions Auditor,Craverade,Compulsion KO’r",DRUGS/ALC,Jen,female
"I am hit with impulses constantly. The thing is, these impulses carry no weight because I don’t react to them by using/abusing drugs/alcohol. I am able to resist urges. I am also aware that when I become focused things which result in ignoring my own personal life and responsibilities, it is time to seek help.","CRAVINGS / support & help,INNER / SELF / awareness,COMMUNITY / ask for assistance","Compulsion KO’r,Bad Habit Butcher,Reactions Auditor,Craver Saver / Braver,Abstainer Amazer",DRUGS/ALC,Jen,female
"I cannot make decisions on the drop of a hat when it comes to my recovery. Today I will embrace the moment and will weigh the risk/reward. Making instant decisions is a threat to my recovery, especially early on in my recovery when my thoughts and behaviors are still changing and adapting to a life free of drugs/alcohol. I am a direct product of my decisions, and I am in the process of make positive changes in all areas of my life; no matter how quickly a situation presents itself, I trust myself to decide with clarity and complete competency.","BENEFITS / COSTS,MINDSET / obstacles & challenge,INNER POWER / Decisions,INNER / SELF / awareness","Instinct Interrogator,Gut Gutter,Mentality Mender,I-examiner - motivations,THOUGHTS / aware & examine",DRUGS/ALC,Jen,female
"I should NOT always feel happy, content, and in control of my life. This is simply irrational. I will make mistakes, but I will learn from them. I symbolize humanity and the act of being human. I am 100% in charge of my emotional health and wellbeing. A lifetime without drugs and alcohol sometimes sounds impossible; however, I am living proof that nothing is impossible.","MOODS,BELIEFS,MINDSET / imperfection & acceptance,INNER MASTERY / perceptions","Illogical Looper,Missi-Un-Impossiblizer ,Blunder Blesser,Belief Superseder,Emotions X-rayer",DRUGS/ALC,Jen,female
"I have been told I am an addict and I’ll always be an addict. This is true, but, I will always NOW be a recovering addict, and I am choosing to embrace that role. It is a role, but it does not define who I am, my self-worth, self-esteem, and overall self-love. I am happier living my life, knowing me am a recovering addict, than living my life addicted and be in denial. Society has their own idea of what a drug addict should look like. I definitely don’t fit in that mold, and know that because of this, I am a teaching tool for others to erase these labels. I love proving people wrong, in the sense of challenging and erasing societal labels.","LABELS / STIGMA,JUDGMENTS,WORTHINESS / deserve & rewards,FREEDOM / future & growth","Label Eraser,Stigma Stigmatizer,Self Worth Surfer,Inner Greatness Greeter,Worthy Soul’r",DRUGS/ALC,Jen,female
"My relapse is a learning experience, not a mistake. It was so easy to become as addict, and so hard to become a recovering addict. I didn’t relapse today, I don’t know if I will tomorrow. As of now, I just focus on today. When tomorrow gets here, I will deal with it then.","PROGRESS / start small,BABY STEPS / focus on today,VULNERABILITY / learning and mistakes","Baby Step Embracer,Progress Pollinator,Lapse Lessonizer,WAIT AND SWITCH / Small steps",DRUGS/ALC,Jen,female
"I have made a list of things to avoid and things not to avoid. For instance, I don’t avoid feelings and emotions, but I do avoid people, places, and things that are directly connected to drinking/using (i.e. bars, group of old friends). My addiction is an illness, it is a part of me, but does not define who I am and what I’m capable of. So far, I have survived one hundred percent of my worst days, and those are really good odds. This survival is fueled by clarity and being honest with myself. I no longer lie to myself and to those around me, no matter how big or small the situation. I am continuously growing stronger and stronger each day, and knownledge is power. Today I know that relapse is not inevitable; it is a part of recovery, a part of this illness, and something that I can be 100% prepared for.","LAPSE,MINDSET / will power,CONFIDENCE / action & behavior,INNER MASTERY / beliefs & awareness","Lapse Lessenizer,Abstainer Amazer,Inner Power Allower,I-Can-ographer,Worthy Soul’r,Confidence Colonizer",DRUGS/ALC,Jen,female
"Thinking lazily results in a relapse. There are times I feel too tired or too busy to attend a meeting, self-help group, AA or NA; however, I am aware that this is simply my addiction speaking. I do not allow these types of lazy thoughts to alter my decision making process because they are a product of my disease. My disease wants me to fail, to use, to relapse; however, I have a strong mind, making this battle I fight daily more easy to win. I am an addict, I am preparing for my road to recovery.","RELAPSE,MINDSET / obstacles & challenge,INNER MASTERY / strength","Lazy Zapper,NeuroTuner,The Procrastina-shunner,SELF HARM / Warnings,COMMITMENT knitter / laziness & effort",DRUGS/ALC,Jen,female
"When the pink cloud wears off, sometimes I feel like shooting everyone the bird. Its ok to do that, as long as I direct it towards those who enabled me and to my disease itself. When I get frustrated, I redirect my energy. Sometimes, life just really gets overwhelming. This is not an excuse to use.....I have no more excuses. I feel frustrations, anger, and even sadness, but I make a conscious choice to not reside in those feelings.","ANGER,MOODS,OVERWHELM,EXCUSES","Pink Cloud Clinger,Moody MF’r,Aggravation Vacationer,Avalanche Avenger,Excuse Exterminator",DRUGS/ALC,Jen,female
"My addiction is a monster, and I view it as an entity that is always awaiting my return. Today I am alert and clear minded, ready to fight back.","DEMONS,INNER POWER / Fears & Strength,CONFIDENCE / action & behavior,MINDSET / Clear headed","Addiction AMF’r,Demon Duper,Mighty Motor Cranker,Compulsion KO’r",DRUGS/ALC,Jen,female
"I know that if I am feeling a negative mood, down, etc., it is time to be on high alert. Constantly checking my mood is essential in my recovery. My mood has the potential to act as a trigger to use. My mood also has the potential to inspire those around me. I am open to others being honest about how I am coming off to them because I know that I am not always able to see myself from the outside looking in. This is why I surround myself with friends who love me and support my recovery. They love me, therefore they are honest with me.","MOODS,NEGATIVITY,TRUST","Ill Feelings Illuminator,Emotions Auditor,Sobriety SOS’r,VULNERABILITY / support from others",DRUGS/ALC,Jen,female
"Recalling my lowest point elevates my mood. This is one thing that keeps me sober because I never want to go back there. I have drawn out a plan for my road to recovery. My plan may not always work, and when I am faced with this dilemma, I simply change the plan, not my goal. Changing the plan is a means of changing my mood. It has a trickling effect. My moods are temporary. They may be uncomfortable at times, but they are manageable without drugs. I feel sad, I have an urge to use. Today, though, I don’t have to. I am an addict but I am no longer that person who resorts to substances to numb out the discomforts.","MOTIVATION,URGES / moods & emotions,INNER / SELF / Inventory","The Soulutionizer,Low Vibration Lifter,Killer Kickstarter,WAIT AND SWITCH / Progress",DRUGS/ALC,Jen,female
"Exploring the things that motivate my recovery are essential to my sobriety. I am always exploring new motivations, replacing the old ones. I enjoy finding new ways to be more and more active, filling my empty time with healthy activities. I am at my best when I am motivated, and I am open to trying new things. Many things motivate my recovery, and exploring my motivations is a never ending list.","DAILY WORK,OPTIMISM,GROWTH / motivation & boosts","Confidence Colonizer,The Dynamotivator,Journey Jazzer,Opportunity Oompher",DRUGS/ALC,Jen,female
"I welcome a challenge....I challenge my negative beliefs because they will lead to a relapse. Negative beliefs lead to negative consequences. I still have negative beliefs, but the difference today is the way I respond, rid of, and replace them.","BELIEFS,NEGATIVITY,REACTIONS","Reactions Auditor,Old Belief Butcher,Negativity Negotiator",DRUGS/ALC,Jen,female
"Focusing on the future is both frightening and exhilarating. Either way, it is an essential part of living a life free of mind altering substances. Completing a list of short and long term goals is helping me focus on a productive future. I have a plan, and when my plan is challenged, I simply alter it to get one step closer to my goal.","PROGRESS / future & hope,MINDSET / Future sobriety,GROWTH / supporting myself","Barefoot Believer,Rainbow Hunter,The Successcalator,The Momentumizer ",DRUGS/ALC,Jen,female
"Not all of my old beliefs are negative beliefs. In order to determine which are threats, I am assessing and analyzing each one. I took an inventory of all of my beliefs centered on life, love, family, and temptations. Many of my old beliefs were shoving me directly towards using drugs. I am working on changing and altering each one, replacing them with new ones, and I am open to working on that today. No matter what, I accept myself, I love myself. I am not my beliefs and my beliefs do not define who I am. If any of my beliefs, either directly or indirectly, challenge my sobriety, my instinct is to immediately challenge it.","BELIEFS,INNER MASTERY / beliefs & awareness,SELF ESTEEM / beliefs","Little Hint Listener,Belief Superseder,Inner Guru Guarder,Gut Gutter",DRUGS/ALC,Jen,female
"I admit that I have a problem with mind-altering substances. I enjoyed how they made me feel, or lack thereof. This type of honesty is very vulnerable, but necessary in shining a light on the darkness of my addiction. Problems are a part of life, but they are not an excuse for using. Admitting my problems takes away their power, and attracts what I deserve.","FREEDOM / past & let go,CONFESSION / admit,TRUTH / Admit addiction","Problem Soul-ver,Inner Light Illuminator,ADMIT / True self & vulnerability,CLOSET CONFESSOR / Admit addiction,VULNERABILITY / admit",DRUGS/ALC,Jen,female
" Denying that I am an addict only fuels my addiction. While admitting to and facing my problems may feel scary, I feel so much freer and at ease once that burden is lifted. My life is an open book. I am not perfect, but I love and accept every part of myself. I have a problem with drugs/alcohol. I am open for help and am tired of living this way. For years I lived in denial, but after taking a searching and fearless inventory, I can’t deny my problem any longer. I open myself up to others who have walked this path and I embrace their guidance. Denying my problem with drugs and alcohol empowers my disease. I am entitled to my recovery process, and I am not entitled to use.","WORTHINESS / new life & future,CONFESSION / denial,TRUTH / Admit addiction","Scary Stepper,Denial Denyer,Worthiness Whisperer,ADMIT / True self & vulnerability,VULNERABILITY / admit",DRUGS/ALC,Jen,female
"I  am one day sober and I deserve to be told positive, rewarding things about my progress. I am celebrating my progress. I have come so far. Some may call it a miracle...I can it hard work, determination, and willingness to change. I picked up a white chip in a meeting (NA or AA) today. I had one day sober, and I earned every second of it.","WORTHINESS / deserve & rewards,SELF ESTEEM / courage,BABY STEPS / Accomplishments,PROGRESS / rewards & proud","Worthy Soul’r,Symbolic Stepper,Ever Evolving Flower,Baby Step Embracer,Self Esteem Engineer",DRUGS/ALC,Jen,female
