RAW,CATS,WELLGOS,FOCUS,N,GENDER
"When I was drinking, I didn’t just distance myself from people; I isolated myself from all of humanity. I didn’t want what anyone was offering. I continue to distance myself from people, but only those that are unhealthy for me. I know what’s toxic for me, both interpersonally as well as situationally. I stay healthy by distancing myself from those who would do me harm, embracing those that don’t.","INFLUENCES,LONELINESS,GROWTH / motivation & boosts,INNER / SELF / balance,COMMUNITY / healthy relationships","Isolation SOS’r,Bad Influence Butcher,WAIT AND SWITCH / Emotions,SELF HARM ALARMER / distance from people",DRUGS/ALC,Paul,male
"I did it; it was all me. Nobody or no thing had anything to do with it. Any good thing that came my way was based on my own merits. How is it possible I could have been so ungrateful, about so many things, for so long? My newfound vision and sense of gratitude makes me realize when a miracle happens, even if it’s a minor one. I am more blessed that I ever thought possible and the miracles happen every day. It’s a miracle I’m sober today. It was a miracle I was sober yesterday too. Every new day is a miracle in itself.","GRATITUDE / for others,CHANGE / self love & true self,FREEDOM / future & growth,GROWTH / proud","Miracle Embracer,Ego Eclipser,Pride Polisher,Arrogance Arrestor,Gratitude Goosebumper,Self Worth Surfer,Ever Evolving Flower,The Blessifier",DRUGS/ALC,Paul,male
"Embrace the suck. Life sucks, get a helmet. The only easy day was yesterday. These are all little sayings I had regarding my misery and what I considered normalcy. Sure, I still have bad moments, days, weeks, and months. But when I compare them to the misery that was my life before, they are so much more manageable. I have tools for living today and even though I can’t control some of the suck that comes my way, I now have the ability to work through it. I have a way out, and it doesn’t include embracing misery as a way of life. Misery is inevitable, not permanent.","RESILIENCE / reaction & behavior,AGONY,MINDSET / tolerate discomfort,INNER MASTERY / strength","Misery Minister,Ill Feelings Illuminator,Depression Decrypter,Confidence Caffeinator,Inner Power Allower",DRUGS/ALC,Paul,male
"I was obsessed with everything. I obsessed over drinking, having fun, pointing out the wrongs of people and the world I live in, and women. Anything and everything that caught my eye became an obsession, even if it only lasted a short while. Today, I am more moderate. I now have passions instead of obsessions. Sure, many things still catch my eye, but I now see them through the lens of being deliberate. If it doesn’t meet the criteria of what’s good for me, I try to rid my mind of it right away, lest it become an obsession.","INNER POWER / Self control & willpower,FREEDOM / tools & strategies,MINDSET / Clear headed","Insanity SOS’r,Self awareness / habits & behavior,Inner Trash Trasher,Soul Controller",DRUGS/ALC,Paul,male
"I only dealt in absolutes when I drank. I was the way I was, and there was no changing that. My second nature was that I’d be indecisive, flaky, arrogant and selfish. As I continue to change my life, and how I view it, I am creating a new second nature. My instincts have changed as have my reactions. It is now second nature to think before I speak; say yes (and mean it) when asked to do something and helping others. My second nature was never set it stone, and now that I know that, I can keep making positive changes to it.","GROWTH / behavior & habits,EGO,PROGRESS / reactions & behavior,CHANGE / mental confidence","Pride Puffer,Ego Eclipser,Arrogance Arrestor,New Pattern Painter / confidence & awareness,Instinct Interrogator",DRUGS/ALC,Paul,male
"Talk about being ashamed. I’d hurt just about everyone I ever loved, acted in ways that no rational human being would of and was a general embarrassment to myself and others. I’m still ashamed of things I’ve done, but it helps to know that those things are in the past and they don’t represent who I am today. I no longer have to avoid people or stick my head in a bottle to get ‘over it.' Sure, I am still embarrassed by things I’ve done, but I can hold head up high knowing that’s not who I am anymore.","SHAME,CONFESSION / damage & hurt,WORTHINESS / new life & future","Shame X’r,Ever Evolving Flower,Worthiness Whisperer,Inner Forgiverizer,RAW SOUL REVEALER / past mistakes,VULNERABILITY / connections",DRUGS/ALC,Paul,male
"My world was black and white while I was drinking. I would have little tolerance for people, preferring to write them off completely. Every problem was just that, a problem. I can now look at life differently and see that nearly everything comes with a silver lining. People that irritate me are a gift from God, put in my path to teach me something, even if that something is tolerance. Problems I face in my career have become opportunities to better myself. If I fail, it’s not really failing; it is something I could learn from. Edison didn’t fail 10,000 times to make a lasting lightbulb; he learned 10,000 ways how not to make a lightbulb.","GROWTH / learning & mistakes,RESILIENCE / reaction & behavior,GRATITUDE / progress & growth,VULNERABILITY / learning and mistakes","Perspective Detective,Daily Daisy Spotter,Blunder Blesser,Opportunity Oompher,Inner Motor Motivator,VULNERABILITY / mistakes & learning",DRUGS/ALC,Paul,male
"How impulsive I was. I never had time to make plans; I was too busy figuring out ways to get high or drunk. I never made long-term plans because the future was always bleak, why bother. If I did make plans, I would simply wing it and hope for the best while expecting the worst. I’m more methodical in how I plan these days. I take other people into consideration and how what I do might affect them. I take the time to make sure my plan is aligned with what’s best for me, and my soul, in the long run. Planning is so much easier when I take my ego out of the equation.","PROGRESS / future & hope,MINDSET,GROWTH / supporting myself","Values VIP’r,Soul Proprietor,Sobriety 101'r,WAIT AND SWITCH / Progress,COMMITMENT knitter / to others",DRUGS/ALC,Paul,male
"I didn’t plan my day, alcohol did. Everything I did revolved around the next drink or drunk. Today I own it. I live for today. I have no control over the past, and I can’t let it control today. Today is all I have, so I better make the most of it.","FREEDOM / past & let go,WORTHINESS / new life & future,MINDSET,PROGRESS / start small","Past #2,The Mindfulizer,Regret Refunder,Self Control 101'r,Inner Freedom Forager",DRUGS/ALC,Paul,male
"When I was drinking, I could only be best described as impulsive. For me, an urge wasn’t an urge; it was a command. When I get an urge to do something, I can take a deep breath, relax and examine the possible outcomes of succumbing to an urge. Not all urges are bad, but at least I have to the tools to help me separate the good from the bad, and the downright stupid.","INNER MASTERY / beliefs & awareness,URGES / tools & techniques,CONFIDENCE /  obstacles & challenge","Placid Reflux,Urge Auditor,Compulsion KO’r,Self awareness / habits & behavior,Reactions Auditor",DRUGS/ALC,Paul,male
"Like a kid hopped up on sugar, I can’t sit still – never could. Boredom is my absolute biggest trigger to drink or drug. If I couldn’t be doing something at least, I could be chill about it. Self-medication was my only hope. I still can’t sit still, but I have found ways to fill the time. I’ve reconnected with hobbies I thought long gone. Most important, I’ve found that there is always something to do or needing to be done. Staying active has gone a long ways in my sobriety, and I never want inactivity to rule my life again.","FREEDOM / tools & strategies,URGES / tools & techniques,MOTIVATION,INNER POWER / Self control & willpower","Void Avoider,The Procrastina-shunner,Lazy Zapper,The Momentumizer ,New Pattern Painter / confidence & awareness",DRUGS/ALC,Paul,male
"I didn’t just avoid the warning signs when I was drinking; I didn’t even see them. I realize now that I didn’t want to see them, and even if I did, my ego would get in the way a squash the thought. I don’t avoid warning signs anymore. They are an integral part of my life as I continue to seek out new ways of improvement. To me, warning signs almost always have a silver lining – they are a call to action. Warning signs are indicators that show me what part of me needs work.","GROWTH / learning & mistakes,SOBRIETY / behavior & action,WARNINGS / self aware & listen","Sabotage SOS’r,Little Hint Listener,Inner Soul X-Rayer,SELF HARM / Warnings",DRUGS/ALC,Paul,male
"When I was drinking, I thought I was pretty good at meditation and taking care of my soul. I would work on one tiny aspect of myself and call it good. How much more wrong could I have been? I now know that I don’t know much, and this applies to my soul more than anything else. I have come to believe that there is no such thing as a private thought without consequence. If I take the time to heal my soul, every other part of me seems to fall in line.","HEALING,GROWTH / true self,INNER / SELF / harmony & inner peace","Whole Soul Healer,Serenity Soulmater,Inner Soul X-Rayer,Soul Surgeon,Spiritual Conquest-ador",DRUGS/ALC,Paul,male
"I felt worthless. Even more troubling is that I thought that it was okay. In my sick mind, it made perfect sense to be worthless. At least I didn’t have to worry about sinking any lower. After years of hard work on improving my life, and my soul, I know beyond a shadow of a doubt I am good enough. I am worthy as a friend, a coworker or an acquaintance. My life matters because I am worth it. Worth every ounce of strength and effort I put into it. I am worthy of another’s affections and trust.","WORTHINESS / connections & sharing,VULNERABILITY / worthy,INNER / SELF / beliefs & insight","Dead End Deluder,Worthiness Whisperer,Love Sweetener,RELATIONSHIPS / Trust & vulnerability,RAW SOUL REVEALER / worthiness",DRUGS/ALC,Paul,male
"Abstinence... it was a hard thing for me to appreciate as a youth, largely because I didn't have the contrast of addiction to compare it to. Though it stood above all else, abstinence was not my choice – I just had nothing to abstain from. Once I screwed that up by doing drugs, abstinence certainly lost its place atop my clearheaded mind. Addiction took the throne, and soon, abstinence was the least important of all things - if I was abstinent, how could I get my fix? That's not a sustainable lifestyle, though. Things soon fell apart - I lost everything. Friends, family, shelter. As these things fell out of my grip, I came to realize that the only way I could restore them was through abstinence. Knowing this, I forced myself through detox - and, once again, I hold abstinence above all else.","SOBRIETY / costs & benefits,ABSTINENCE,INNER POWER / Self control & willpower,CHANGE / mental confidence","Abstainer Amazer,Demon Dethroner ,COMMITMENT knitter / above all else,Sobriety Soulmater",DRUGS/ALC,Nigel,male
"It took a long time for me to sail through stormy addictions, battle shark-like cravings that struck relentlessly. After years of fighting my way through the rough seas of addiction, I found myself - at long last - clean, and sober. I'd steered my boat to the sea of Abstinence. I'd be foolish to not worry about relapse, though, so I'll need to anchor myself to abstinence. There's a few things I'm doing - I've mad some changes to my close friend group. While I'm still friends with people who use, I can't surround myself with them all the time. Complete honesty with myself and those arround me assures that if I look like I'm about to slip, somebody can catch me. I've been anchored here in abstinence for quite some time, and the water's great !","ABSTINENCE,COMMUNITY / healthy relationships,SOBRIETY / maintaining & will power","COMMITMENT knitter / abstinence confidence,RELATIONSHIPS / Healthy & supportive,Inner Light Illuminator,Braverade",DRUGS/ALC,Nigel,male
"Accidents happen. I've known that since childhood. Sometimes, something happens for no good reason, and it sucks. Maybe someone spills their coffee on their carpet, maybe someone stubs their toe. In my case, I got addicted to drugs. I had to accept my addiction before I could accept it as an accident. For most of my dependency, I refused to accept I had a problem - that way, I had nothing to fix. I hadn't made any accidents, and I had no reason to apologize to myself. As I lost friends, I began to accept those as accidents - not my own fault. ""He doesn't want to talk to me? What an idiot - all I did was accidentally say something mean."" I 'accidentally' lost my house. When I 'accidentally' lost my girlfriend, I started thinking about how maybe I'd accidentally fallen into an unsustainable lifestyle. That acceptance allowed me to see all the damage I'd done, and take it upon myself. I had no desire to to drugs after this - the last few years had just been one, drawn-out accident. Through sober eyes, I accept that now - and I don't think I'll ever go back.","VULNERABILITY / learning and mistakes,ACCOUNTABILITY / damage confess,TRUTH / Inventory,CONFESSION","RAW SOUL REVEALER / past mistakes,ADMIT / accountability,Responsibility Baby Stepper,CLOSET CONFESSOR / Inventory",DRUGS/ALC,Nigel,male
"I used to always hurt - anxiety, depression, and insecurity were a big part of my life, and by early teenagehood I'd admitted this much to myself. In a feeble attempt to stop the pain, I started using drugs. What really took strength to admit was not the emotional pain I felt as a teen - it was admitting that the Band-Aid I'd slapped over my problems was causing me more agony than ever before. Suddenly, the solution had become more of a problem than the problem had ever been - and it took me years to accept that. Taking that bandage off allowed the wounds to heal themselves, and now I'm happier than ever.","AGONY,INNER MASTERY / strength,TRUTH / Admit addiction","Pain Abstainer,CLOSET CONFESSOR / Admit addiction,Whole Soul Healer,Inner Soul X-Rayer",DRUGS/ALC,Nigel,male
"Exploring for alternatives was what got me into drugs in the first place. I was curious to dive into a lifestyle that received so much criticism in the media, and had been talked down on so much. What was all the hype? I found out pretty quick, and this new 'alternative' became my everyday habit. I grew dependent to the point that I started losing friends. All but my closest friends had left me, and only when my girlfriend did, too, did I consider that maybe I needed to make a change. There weren't a whole lot of alternatives to explore at first - either I sit in my trashed apartment and wait for my landlord to come take me out with the garbage, or get off my ass and go to detox. I did the latter, and since going through that pain, I've got a whole world of alternatives to explore!","DEAD END,TRUTH / dark past,MINDSET / Future sobriety","Dead End Defier ,Addiction AMF’r,Lost Benefit Lamenter,Inner Trash Trasher",DRUGS/ALC,Nigel,male
"I always thought myself to be a humble dude. I'd apologize all the time, even for things that I didn't have to. I just didn't want anyone to feel bad. I didn't apologize for getting into drugs, though - that was something I held dear for quite a few years. As I became more addicted, I became a worse person. I broke a lot of friendships off by being selfish, I lost a good relationship and housing situation. The whole world was falling apart in front of me, and only once I had nothing left did I decide... maybe I should go to detox. So, I did. After that, I was able to start making amends to the people I'd hurt.","AMENDS,RECONCILIATON,CONFESSION / damage & hurt","Relationship Dedamager,The First Amender,CLOSET CONFESSOR / Face truths,NEW PATTERN PAINTER / admit & amends",DRUGS/ALC,Nigel,male
"Anger has never been one of my issues. I was a calm child, a calm preteen. My gateway drug was marijuana, which certainly accentuated this. I graduated quickly from smoking weed to smoking heroin, though - and heroin deprived my brain of a lot of positive emotion. I treated my friends like crap, but of course, I would never think I was doing so. They would tell me, try to arrest my anger and ration with me – but this only made me more angry. I needed someone to arrest my anger, and I couldn't do it myself. It took me the loss of everything important before I realized that the only way I could stop my problems was my stopping my addiction. Rehab would be my anger arrester. I bit the bullet and went through the painful process of detox. Each day the agony of withdrawal coursed through my body, I felt the residual anger depart with it. Upon my completion of detox, I found that I was, once again, anger free – and this time, much more appreciative of the positivity in my life.","ANGER,FREEDOM / tools & strategies,SOBRIETY / maintaining & will power,MINDSET / tolerate discomfort","Lost Benefit Lamenter,Relationship Dedamager,Venom Vaporizer,NEW PATTERN PAINTER / admit & amends",DRUGS/ALC,Nigel,male
"It certainly wasn't autopilot that drove me to start using drugs. That was a carefully (mis)calculated decision, dotted with doubts and apprehension. I overrode my autopilot, but it came back with a vengeance once I developed an addiction. Similar to an average Joe's autopilot, I'd wake up, eat breakfast, go to work - but mine followed the more aggressive routine of: wake up sick, skip breakfast, go find money for drugs. That was the autopilot that coordinated my life for too many years. Eventually, I hit a point where it truly auto-stopped: I woke up one day, seeing the trashed apartment my girlfriend had just left me in, the empty parking space where my truck had sat, the vacant couches where friends could have been lounging. After all that, I finally noticed that I had a problem. That was the last day I used.","DEAD END,CHANGE / motivations,TRUTH / Admit addiction","Autopilot Auto X’r,Dead End Deluder,Addiction AMF’r,The Dynamotivator,Bitter Truth Taster",DRUGS/ALC,Nigel,male
"Baby steps didn't only take me towards recovery - they also, in a perverse way, guided me into addiction. I didn't dive headfirst into drug dependency - like a lot of addicts, I started with alcohol, graduated to illegal substances, and then worked my way towards the 'harder' drugs. Just like I took small steps towards my addiction, I had to take small steps through the recovery process. Keeping hold of the idea that even a small step towards sobriety is bringing me in the right direction, I was able to ease my way back into society. Something as small as having a conversation and a laugh with an old friend can be the step strong enough to lead into a full stride towards rehabilitation.","BABY STEPS / first steps,PROGRESS / start small,SOBRIETY","Baby Step Embracer,Progress Painter,WAIT AND SWITCH / Small steps,Sobriety 101'r",DRUGS/ALC,Nigel,male
" Bad news is easy to refuse. I didn't want to accept that my car got impounded, or that my grandfather died. These are facts, though, and can only be refused for so long. When I became dependent on drugs, I refused any bad news that I heard about myself to no end. My friends would speak about my usage like it was bad news – and I'd cast their suggestions out the window. Addiction isn't tangible. I couldn't walk out the door and see that my life had fallen out of my control - so I refused this news, until it became obvious to me that I had a problem too big to fix by myself. I stopped refusing the news, and by doing that, I stopped refusing myself the support I needed to be sober. I accepted myself, my mistakes, and the big headline hanging over my life reading: ""I AM NOW A JUNKIE."" Accepting this news allowed me to make the changes I needed to go clean, and now there's nothing but good news - which I can't see myself ever wanting to refuse","CONFESSION / denial,TRUTH / Admit addiction,MINDSET / imperfection & acceptance","Denial Denyer,CLOSET CONFESSOR / Admit addiction,Worthy Soul’r,Inner I-Opener",DRUGS/ALC,Nigel,male
"I never wanted to be a junkie; nobody does. Because of this, I'd always find scapegoats to pin my behaviour on. I didn't need to cover up my depression - other people were just treating me unfairly and it was their fault I had to use. I'd blame relapses on my anxiety, instead of seeking other methods of therapy. The entire years I spent as a junkie, I would blame anyone and anything just to avoid accepting who I'd become. Placing blame externally, I've learned, will change nothing. One day I woke up and realized my entire life had fallen apart, and I had nobody left to blame but myself. Once I saw that, I realized that nobody else needed to change - it was me. This has carried weight in my life since then: even if I feel I'm being attacked, I'll never make myself the victim. Getting angry, being sad, refusing to accept life as it is - this is my choice, and I'm the one to blame. Knowing this, I've cast negative emotions out of my life and can live happily even in tough situations.","BLAME,CONFIDENCE /  obstacles & challenge,RESPONSIBILITY","Blame Changer,Victim Vanquisher,Responsibility Rebooter",DRUGS/ALC,Nigel,male
"I've always been what a polite person would call ""behaviourally challenged."" I didn't listen in school, I skipped class, bent the rules at home, started doing drugs and drinking in public. I was okay with this, but I had a slew of people try and reinformed some positive behaviour in me. That certainly failed, because by sixteen I was addicted to heroin and close to living on the streets. The dope reinforned my BAD behaviours, and I found myself in a vicious spiral. Everything I'd worked towards began to fall apart in front of me. All my close relationships were sacrificied to my marriage with heroin. My jobs were lost. Eventually I lost my house, and I realized I'd been enforcing the wrong behaviour. I managed to get myself into detox, and afterwards I learned a lot of techniques for reinforcing behaviour. I have triggers and weaknesses, but I also have strengths and values. Focussing on the latter allows me to act in a virtuous way.","GROWTH / behavior & habits,INNER POWER / Tools,SOBRIETY / behavior & action","Bad Habit Butcher,Self awareness / habits & behavior,WAIT AND SWITCH / Progress,New Pattern Painter / grit & progress",DRUGS/ALC,Nigel,male
"I've always believed that a belief is meant to be challenged. Nothing in life is so concrete that you should defend it with your life, so I'd always question people on their stances. It amazed me how many people would double back and realize that their beliefs weren't backed by anything. I developed a very strong drug dependency in my teenagehood. I lost a lot of friends during this period - because I wouldn't accept their outstretched hands when they tried to hold me back from falling to rock bottom. I challenged everything they said - ""I'm not a junkie, I just use recreationally... I'm not dopesick, I have a cold..."" The addiction took everything I'd looked for, and when I had nothing left but the unwashed clothes on my back and a pile of garbage, I thought that maybe something had gone wrong. My beliefs weren't right. I was a junkie, and I needed to get help - so I did. Now I'm sober and still ready to challenge people's beliefs - as long as I hallenge my own, too.","TRUTH / self honesty,CHANGE / beliefs,SOBRIETY / costs & benefits","Belief Superseder,CLOSET CONFESSOR / Face truths,Lost Benefit Lamenter",DRUGS/ALC,Nigel,male
"I've always focused on the greater benefit – even in bad situations. Call me an optimist – even a stubbed toe gives me the benefit of a raised pain tolerance to focus on. When I first experimented with drugs – unfortunately – I still focused on the benefits. I'd ignore comedowns, I'd ignore mood swings, and I'd only focus on the intense euphoria that accompanied the experiences. This, of course, led me into a downward spiral of addiction. I was misguided for many years. Instead of focusing on sobriety and the benefits it could hold for me, I'd focus on the benefits of getting some dope to cure my sickness. This only made the cycle worse. Eventually, I lost everything important to me – my house, my friends, my girlfriend. There were, literally, no benefits to focus on – aside from the possibility that sobriety might make things better. I went through detox. During withdrawals, knowing that I couldn't access dope, I focused on the benefits of sobriety. This would get rid of the sickness. The cravings would slowly disappear – I had new things to focus on, and they were much healthier and much more rewarding. Once I finished detox, I could once again focus on the beautiful beenfits that a sober life can offer me.","SOBRIETY / costs & benefits,GROWTH / goals & future,DENIAL","Insanity SOS’r,Delusion Detector,Lost Benefit Lamenter,Rainbow Hunter",DRUGS/ALC,Nigel,male
"The bipolar coaster was one hell of a ride. It would bounce back and forth from exciting and euphoric, to terrifying and miserable. I rode this coaster for years - with a bipolar girlfriend to complement it. With my drug-induced mood swings and her diagnosed mania, amplified by our addiction, the bipolar coaster became the most unstable vehicle to drag us through our lives. I saw happy people from the view atop the bipolar coaster. I was certain they were faking it. Nobody could be happy constantly - not if I couldn't. These people were bound to find misery soon, I thought, just as the coaster swung me into a paradoxical state of euphoria. After I lost my friends and my girlfriend, I had time to think to myself about who I used to be. I remembered thatI had been happy. I had felt joy and excitement before – my friends had too. And it had lasted! Amazing! Where had that joy gone? I guess I'd smoked it. I wanted to get off this coaster because it was ruining my chance to be happy, so I went through detox. I'm on board a different coaster now - call it the Clarity-Coaster.","MINDSET / Clear headed,GROWTH / willing to change,BABY STEPS / first steps","Bipolar Coaster,Rainbow Hunter,Inner Freedom Forager,Sobriety 101'r",DRUGS/ALC,Nigel,male
"The truth is something that an addict likes to hide from, and this only made me grow more and more bitter. Through denial, lies, and the mask I constantly wore to protect (or hide from) myself, I couldn't hope to know who I really was. As my addiction spiraled downwards, though, telltale signs became obvious. What I should have known from the beginning was only told to me when I saw the derelict life I had driven myself into. With no apartment, no girlfriend, and no friends, my experience was the only thing that could drill the bitter truth into my head: I was an addict. With that nugget of truth burrowed into my heart, I couldno choice but to seek help.","BITTERNESS,TRUTH / self honesty,VULNERABILITY / Show true self","Bitter Truth Taster,CLOSET CONFESSOR / Face truths,Soul-vation ,VULNERABILITY / reach out for help",DRUGS/ALC,Nigel,male
" I lived in the dark for a long time. With only the flame on my lighter to guide me, I was a lonely, drug-addicted bottom feeder. I liked it, though - it was just me and the dope, nobody to bother us - except my girlfriend. Having a relationship as a junkie is hard, and one week when things were getting particularly stressful, I woke up to find the apartment trashed. My girlfriend had taken her most important things and the next thing I heard from her was a text message telling me she was on a plane across the country. Plot twist. This brightened my brain to the reality of the situation - my apartment was trashed, I had gotten fired, my truck got impounded - I wasn't going anywhere. With this new intellectual illumination, I brought myself into detox and cleaned up my act. Even the darkest nights are still bright now!","TRUTH / Costs,CHANGE / motivations,GROWTH / learning & mistakes","Black Hole Blesser,Killer Kickstarter,Addiction AMF’r",DRUGS/ALC,Nigel,male
"My brain functioned alright as a young teen. I was smart, I got good grades, and I thought I knew what I was doing. I was so confident in my cerebral activity that I decided doing drugs would be a good idea. So sure of myself, I didn't realize that I was doing damage to myself and my others. I didn't need to change a thing – I was just doing drugs because I enjoyed them. They made me more creative, more productive... it was great! For a while. The initial benefits wore off quick though, and I found myself in a spiral of addiction that lasted several years. This spiral sucked the roof from over my head, the friends from my life, the love from my relationships. I was left with nothing but myself and my corrupted brain, and I realized that I needed a reboot. I'd been doing things wrong. The only way I could reboot my brain was by going through rehab, so I did. The painful week I went through was enough to reboot my brain, and when my new operating system loaded, I felt better than ever before. My decisions were clear, my emotions were under control – and life, once again, looked bright.","MINDSET / Clear headed,PROGRESS / future & hope,CONFESSION / damage & hurt","Lost Benefit Lamenter,Brain Unchainer,NEW LIFE / POSSIBILITIES,Damage Doctor",DRUGS/ALC,Nigel,male
"As an addict, I burned a lot of bridges – good and bad. In the first couple years of addictions, I burned bridges with my close friends, my loved ones – even parts of myself. Eventually, though, I had no bridges left to burn but the one with myself and my drug dealers. I chose to burn the one that connected me to drugs. Through a vigorous detox, I burnt all the bridges with my dealers and my drug-addicted friends. I came out clean and sober, and this gave me the tools I needed to build back the bridges I'd burnt. It took quite a while – my friends were so distant now that they were apprehensive about putting the work in to rebuild a bridge that I'd so callously destroyed. With patience, honesty, and love, I was able to bring back some connections I'd thought were gone forever – and now, I have more solid relationships than ever.","VULNERABILITY / Connection,COMMUNITY / healthy relationships,RECONCILIATON","Relationship Redeemer,Bad Influence Butcher,RELATIONSHIPS / Healthy & supportive,Amender Befriender",DRUGS/ALC,Nigel,male
