,"""WILL POWER
""",ABSTINENCE,ACCOUNTABILITY / Amends,ACCOUNTABILITY / De-blame,ACCOUNTABILITY / Own up,ACCOUNTABILITY / damage confess,AGONY,AMENDS,ANGER,ANXIETY,APOLOGY,BABY STEPS / Accomplishments,BABY STEPS / Help & support,BABY STEPS / first steps,BABY STEPS / focus on today,BABY STEPS / slow changes,BEHAVIOR,BELIEFS,BENEFITS / COSTS,BINGE,BITTERNESS,BLAME,CHANGE / action & behavior,CHANGE / beliefs,CHANGE / courage,CHANGE / mental confidence,CHANGE / motivations,CHANGE / self love & true self,CHANGE / thoughts,COMMITMENTS,COMMUNITY / Meetings & groups,COMMUNITY / ask for assistance,COMMUNITY / connection with others,COMMUNITY / healthy relationships,COMMUNITY / listen to guidance,COMMUNITY / sharing,COMPASSION,CONFESSION,CONFESSION / admit,CONFESSION / apology & forgiveness,CONFESSION / damage & hurt,CONFESSION / denial,CONFESSION / powerlessness,CONFIDENCE,CONFIDENCE /  hope & future,CONFIDENCE /  obstacles & challenge,CONFIDENCE / acceptance & worth,CONFIDENCE / action & behavior,CONFLICT,CONTROL,COURAGE,CRAVINGS / support & help,CRAVINGS / vulnerability & learning,CRAVINGS / will power & tools,DAILY WORK,DEAD END,DELUSION,DEMONS,DENIAL,DESPAIR,EGO,EMOTIONS,EXCUSES,FAITH,FEAR,FORGIVENESS,FREEDOM,FREEDOM / future & growth,FREEDOM / past & let go,FREEDOM / peace & harmony,FREEDOM / tools & strategies,GIVING / GENEROSITY,GOD / reach out,GOD / thy will,GRATITUDE / for others,GRATITUDE / for self,GRATITUDE / opportunities,GRATITUDE / progress & growth,GROWTH,GROWTH / behavior & habits,GROWTH / celebrate,GROWTH / goals & future,GROWTH / gratitude,GROWTH / learning & mistakes,GROWTH / motivation & boosts,GROWTH / proud,GROWTH / successes,GROWTH / supporting myself,GROWTH / true self,GROWTH / willing to change,GUILT,HABITS,HARDSHIP,HEALING,HIGHER POWER / confidence,HIGHER POWER / surrender,HOPE,HUMOR,INFLUENCES,INNER / SELF / Inventory,INNER / SELF / awareness,INNER / SELF / balance,INNER / SELF / beliefs & insight,INNER / SELF / harmony & inner peace,INNER / SELF / patterns,INNER /SELF / true self,INNER MASTERY / beliefs & awareness,INNER MASTERY / challenge & resilience,INNER MASTERY / perceptions,INNER MASTERY / self control,INNER MASTERY / strength,INNER MASTERY / take a step back,INNER MASTERY / tools & processes,INNER POWER,INNER POWER / Decisions,INNER POWER / Fears & Strength,INNER POWER / Self control & willpower,INNER POWER / Tools,INNER POWER / Vulnerability,INTUITION,JEALOUSY,JOY,JUDGMENTS,LABELS / STIGMA,LAPSE,LONELINESS,LOVE ,MINDSET,MINDSET / Clear headed,MINDSET / Future sobriety,MINDSET / Perceptions,MINDSET / deal with frustration,MINDSET / identify weaknesses,MINDSET / imperfection & acceptance,MINDSET / no matter what,MINDSET / obstacles & challenge,MINDSET / tolerate discomfort,MINDSET / will power,MONKEY,MOODS,MOTIVATION,NEGATIVITY,OPTIMISM,OVERWHELM,PAST,PEACE,PITY ,POWERLESSNESS,PRIDE ,PROGRESS / future & hope,PROGRESS / reactions & behavior,PROGRESS / rewards & proud,PROGRESS / start small,PROGRESS / support ,REACTIONS,RECONCILIATON,REGRET,RELAPSE,RESILIENCE / discomfort,RESILIENCE / reaction & behavior,RESILIENCE / will power,RESPONSIBILITY,SABOTAGE,SELF ESTEEM / behavior,SELF ESTEEM / beliefs,SELF ESTEEM / courage,SELF ESTEEM / deserve & rewards,SERENITY,SHAME,SITUATIONS,SOBRIETY,SOBRIETY / behavior & action,SOBRIETY / celebrate & progress,SOBRIETY / costs & benefits,SOBRIETY / maintaining & will power,STRESS,THOUGHTS,TRIGGERS / awareness,TRIGGERS / confidence & strength,TRIGGERS / tools & techniques,TRUST,TRUTH / Admit addiction,TRUTH / Costs,TRUTH / Inventory,TRUTH / dark past,TRUTH / self honesty,URGES / moods & emotions,URGES / support & help,URGES / tools & techniques,VALUES,VULNERABILITY / Connection,VULNERABILITY / Show true self,VULNERABILITY / learning and mistakes,VULNERABILITY / others who’ve been there,VULNERABILITY / to support my sobriety,VULNERABILITY / worthy,WARNINGS / Avoid triggers,WARNINGS / Relapse & tools,WARNINGS / self aware & listen,WORRY,WORTHINESS / connections & sharing,WORTHINESS / deserve & rewards,WORTHINESS / help,WORTHINESS / new life & future,WORTHINESS / self love & acceptance
APOLOGY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABY STEPS / Accomplishments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
BABY STEPS / Help & support,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,4,0,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,2,0,0
BABY STEPS / first steps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BABY STEPS / focus on today,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
BABY STEPS / slow changes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BEHAVIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BELIEFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BENEFITS / COSTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
BINGE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,5,0,0,0,0,0,0,0
BITTERNESS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
BLAME,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
